filename,caption,shapes
scene_0000.png,purple circle below purple square,square|purple|67|59|47|39|87|79;circle|purple|167|191|147|171|187|211
scene_0001.png,purple triangle above yellow triangle,triangle|purple|139|56|119|36|159|76;triangle|yellow|80|211|60|191|100|231
scene_0002.png,blue circle left of blue triangle,triangle|blue|191|197|171|177|211|217;circle|blue|40|215|20|195|60|235
scene_0003.png,red triangle left of yellow circle,triangle|red|93|171|73|151|113|191;circle|yellow|205|114|185|94|225|134
scene_0004.png,blue triangle below red triangle,triangle|blue|104|165|84|145|124|185;triangle|red|47|77|27|57|67|97
scene_0005.png,purple circle below red circle,circle|purple|127|209|107|189|147|229;circle|red|69|70|49|50|89|90
scene_0006.png,yellow circle left of purple triangle,circle|yellow|62|204|42|184|82|224;triangle|purple|163|124|143|104|183|144
scene_0007.png,blue triangle left of red triangle,triangle|blue|110|215|90|195|130|235;triangle|red|207|145|187|125|227|165
scene_0008.png,blue triangle below blue circle,circle|blue|60|85|40|65|80|105;triangle|blue|108|180|88|160|128|200
scene_0009.png,green triangle right of purple square,square|purple|73|153|53|133|93|173;triangle|green|209|135|189|115|229|155
scene_0010.png,blue square left of yellow square,square|blue|45|212|25|192|65|232;square|yellow|204|67|184|47|224|87
scene_0011.png,purple triangle above red circle,triangle|purple|203|56|183|36|223|76;circle|red|197|201|177|181|217|221
scene_0012.png,green triangle left of purple square,triangle|green|92|94|72|74|112|114;square|purple|177|84|157|64|197|104
scene_0013.png,blue circle left of blue triangle,circle|blue|67|193|47|173|87|213;triangle|blue|164|120|144|100|184|140
scene_0014.png,yellow square above purple square,square|purple|96|166|76|146|116|186;square|yellow|194|56|174|36|214|76
scene_0015.png,purple circle above green triangle,circle|purple|162|67|142|47|182|87;triangle|green|135|203|115|183|155|223
scene_0016.png,yellow triangle above red square,triangle|yellow|139|97|119|77|159|117;square|red|125|158|105|138|145|178
scene_0017.png,blue circle right of purple triangle,circle|blue|187|76|167|56|207|96;triangle|purple|87|105|67|85|107|125
scene_0018.png,green circle right of green triangle,circle|green|142|125|122|105|162|145;triangle|green|79|91|59|71|99|111
scene_0019.png,purple circle above purple square,square|purple|87|179|67|159|107|199;circle|purple|156|67|136|47|176|87
